,artist,track,track_pop,duration_ms,album_nm,album_dt
14399,Rihanna,Love On The Brain,87,224000,ANTI (Deluxe),2016-01-28
8199,Måneskin,Beggin',87,211560,Chosen,2017-12-08
14949,Joji,SLOW DANCING IN THE DARK,86,209273,BALLADS 1,2018-10-26
43999,Tito Double P,DEMBOW BÉLICO,86,126522,DEMBOW BÉLICO,2023-06-03
15549,Outkast,Hey Ya!,86,235213,Speakerboxxx/The Love Below,2003
15899,Eurythmics,Sweet Dreams (Are Made of This) - Remastered,86,216933,Sweet Dreams (Are Made Of This),1983-01-04
25499,Drake,Spin Bout U,86,214588,Her Loss,2022-11-04
43349,Wesley Safadão,Covardia,86,150863,Covardia,2023-03-30
25799,NLE Choppa,SLUT ME OUT,86,123672,SLUT ME OUT,2022-04-22
37949,Hotel Ugly,Shut up My Moms Calling - (Sped Up),86,135529,Shut up My Moms Calling (Sped up),2022-09-14
36199,The Weeknd,Double Fantasy (with Future),86,268235,Double Fantasy,2023-04-21
32899,Taylor Swift,"You're On Your Own, Kid",86,194206,Midnights,2022-10-21
30899,Taylor Swift,Bejeweled,86,194165,Midnights,2022-10-21
29699,Odetari,LOOK DON’T TOUCH (feat. cade clair),86,138240,LOOK DON’T TOUCH (feat. cade clair),2023-05-17
29099,Metro Boomin,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",86,245240,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02
28949,Beyoncé,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),86,260962,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),2023-05-19
28649,Metro Boomin,Hummingbird (Metro Boomin & James Blake),86,319493,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02
28549,Post Malone,Mourning,86,147819,Mourning,2023-05-19
28149,Steve Lacy,Bad Habit,86,232114,Bad Habit,2022-06-29
39999,KAROL G,PROVENZA,86,207626,MAÑANA SERÁ BONITO,2023-02-24
16499,Kendrick Lamar,LOVE. FEAT. ZACARI.,86,213400,DAMN.,2017-04-14
40749,LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife",86,185538,UNFORGIVEN,2023-05-01
22999,One Direction,Story of My Life,86,245493,Midnight Memories (Deluxe),2013-11-25
19949,Britney Spears,Toxic,86,198800,In The Zone,2003-11-13
19049,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),86,205040,TESTING,2018-05-25
18799,Jhayco,No Me Conoce - Remix,86,309120,Famouz,2019-05-24
18199,Kendrick Lamar,Money Trees,86,386906,"good kid, m.A.A.d city",2012
17999,Bryson Tiller,Don't,86,198293,T R A P S O U L,2015-10-02
17949,Capital Cities,Safe And Sound,86,192789,In A Tidal Wave Of Mystery (Deluxe Edition),2013
17849,Usher,Yeah! (feat. Lil Jon & Ludacris),86,250373,Confessions (Expanded Edition),2004-03-23
43199,Junior H,El Hijo Mayor,86,196500,El Hijo Mayor,2022-05-20
13349,Lynyrd Skynyrd,Sweet Home Alabama,86,283800,Second Helping (Expanded Edition),1974-04-15
39349,Harry Styles,Matilda,86,245964,Harry's House,2022-05-20
9349,Train,"Hey, Soul Sister",86,216773,"Save Me, San Francisco (Golden Gate Edition)",2010-12-01
12799,Bad Bunny,Yonaguni,86,206710,Yonaguni,2021-06-04
45099,Tainy,MOJABI GHOST,86,232131,DATA,2023-06-29
11999,Avicii,Waiting For Love,86,230613,Stories,2015-10-02
36,XXXTENTACION,Jocelyn Flores,86,119133,17,2017-08-25
10499,Offset,Ric Flair Drip (with Metro Boomin),86,172800,Without Warning,2017-10-30
